
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003018 : Bristol 007",1,0,2,1,0,0,3,0,3,0,0,2,1,0,0,3,0,0,0,1,3,1,1,0,0,0,0,16,15,78,50,8,45,24,123,30,3,6,4,10,10,51,17,24,2,5,11,1,28,14,14,28,0,0,8,26,132,0,3,10,9,0,10,14,1,12,3,5,1,4,6,4,6,3,1,3,2,8,52,6,15,2,2,5,7,30,3,22,0,6,2,1,5,7,10,0,1,2,1,0,2,0,2,1,1,1,2,0,3,5,5,7,74,3,0,2,19,0,35,3,0,0,2,3,53,23,7,0,5,2,0,2,7,2,0,4,3,0,1,1
"E02003019 : Bristol 008",3,0,1,0,0,0,2,1,2,0,2,1,1,1,0,4,0,1,0,3,2,0,2,0,1,0,0,33,29,254,42,7,45,22,493,25,7,9,2,8,10,35,18,17,2,4,11,8,14,17,16,29,0,1,16,19,121,2,6,14,23,0,10,35,1,23,1,12,3,15,16,11,11,4,0,0,0,11,63,8,23,2,22,4,15,78,3,46,7,5,2,2,4,6,15,0,3,0,1,0,6,2,0,2,5,2,4,2,13,20,9,16,163,3,0,3,20,1,62,7,2,0,0,2,58,38,13,0,9,2,1,4,6,7,0,3,5,3,5,2
"E02003020 : Bristol 009",5,0,0,0,0,1,3,4,2,0,0,3,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,14,20,21,47,7,56,6,26,44,1,6,1,5,7,28,16,21,3,3,19,4,32,23,30,44,0,0,14,37,216,0,3,6,14,0,4,13,1,12,6,1,0,4,12,7,3,0,0,0,2,3,81,5,18,1,2,8,10,19,3,8,4,4,2,3,5,6,5,1,0,2,2,0,4,2,0,0,5,7,1,2,5,9,4,8,51,4,0,1,26,1,45,4,1,0,2,2,97,32,7,1,4,5,1,1,2,2,1,5,4,1,0,0
"E02003021 : Bristol 010",1,0,4,1,0,0,5,8,4,0,3,5,0,0,0,0,1,1,0,2,3,0,1,1,1,0,0,14,15,24,49,16,17,4,27,11,26,16,2,25,18,4,28,24,5,5,24,11,22,32,21,34,4,4,7,16,145,2,3,9,11,0,5,14,1,8,4,6,2,6,2,7,8,0,0,1,6,11,64,15,17,5,1,0,10,19,4,13,1,2,1,0,4,2,9,3,1,1,0,1,0,0,0,0,3,0,0,1,13,12,11,8,41,4,2,4,42,2,51,2,0,0,5,7,111,48,14,0,11,3,0,5,2,10,5,8,2,8,3,4
"E02003022 : Bristol 011",1,4,2,1,0,0,7,7,2,0,1,5,0,1,0,0,0,2,0,2,4,0,3,0,1,0,0,3,16,20,55,17,41,1,10,14,8,29,3,11,11,11,27,20,3,5,13,8,23,25,24,33,0,0,8,33,185,0,5,8,9,0,5,13,1,7,2,4,5,2,5,5,5,4,0,1,3,7,83,4,8,3,2,1,2,10,5,4,1,5,3,0,5,5,8,0,0,3,0,0,0,0,1,0,2,2,0,2,10,8,4,3,25,3,0,4,19,0,42,2,1,1,3,2,91,32,14,0,13,4,0,1,5,8,3,5,2,4,6,5
"E02003023 : Bristol 012",7,1,0,0,0,1,7,8,4,1,0,3,0,0,0,3,1,0,0,2,2,4,3,0,0,1,0,2,9,11,29,1,7,1,15,1,2,1,28,59,49,8,16,11,7,12,10,24,6,31,18,14,6,4,3,6,121,2,2,18,8,0,18,12,2,6,1,8,2,5,4,7,1,2,0,0,2,6,68,16,22,14,2,4,0,6,0,5,3,1,1,0,1,5,6,0,0,0,0,0,1,0,0,0,1,3,0,0,9,11,8,6,30,1,5,1,26,0,34,6,0,0,2,5,136,34,28,3,14,20,1,6,19,20,5,17,7,0,3,5
"E02003024 : Bristol 013",5,7,4,2,0,0,7,12,0,1,1,1,0,0,1,0,2,2,0,4,2,0,3,0,0,1,0,6,8,14,38,1,6,1,31,3,7,1,14,84,35,6,14,8,11,20,12,31,13,22,23,9,3,8,29,16,114,2,1,16,11,1,18,13,2,8,6,17,0,5,4,5,6,4,1,3,2,9,103,16,40,12,2,8,7,6,3,9,2,2,2,1,1,4,7,1,0,0,1,0,3,0,0,0,0,2,0,0,7,6,14,8,47,15,3,6,50,1,49,8,3,4,3,6,176,38,41,10,22,29,5,9,24,35,5,16,7,2,7,12
"E02003025 : Bristol 014",0,0,1,0,0,0,4,2,1,0,1,2,0,0,0,3,0,0,0,5,1,1,2,0,0,0,0,17,21,22,47,20,7,2,31,2,8,12,13,19,57,8,23,10,1,6,27,10,5,49,14,9,2,2,14,11,104,3,2,7,6,2,6,15,2,7,3,11,0,8,3,5,9,5,1,0,1,3,61,26,33,5,1,2,4,11,1,8,4,2,0,0,3,2,6,0,1,1,1,0,0,0,0,0,2,1,3,0,7,15,2,10,55,0,0,5,35,0,45,7,0,0,5,4,78,48,23,0,7,4,2,2,4,5,0,8,4,0,2,8
"E02003026 : Bristol 015",3,0,3,0,0,1,7,6,6,2,2,3,1,0,0,2,0,2,0,2,2,1,2,0,2,1,0,9,20,28,66,4,46,9,47,29,8,7,3,14,13,44,19,39,3,5,32,8,35,29,28,59,2,4,6,76,272,0,4,8,22,2,6,23,1,11,7,6,2,5,13,7,6,3,0,1,6,6,124,6,12,5,1,10,9,25,2,9,3,4,1,0,5,5,13,2,0,3,0,1,6,2,0,0,1,9,1,1,6,6,2,8,35,4,0,1,21,0,43,2,2,0,1,5,104,23,14,1,3,2,0,2,4,4,1,2,1,2,0,1
"E02003027 : Bristol 016",7,5,6,1,0,3,10,13,4,2,4,15,0,1,0,1,2,0,6,2,4,5,3,0,1,1,1,19,14,18,63,16,24,5,29,13,16,11,6,40,17,11,48,18,10,8,52,9,40,57,31,57,0,7,12,37,262,0,9,17,16,4,8,22,5,11,9,16,5,4,7,11,7,3,5,3,8,18,112,15,35,6,6,4,8,24,2,19,2,6,3,1,13,3,3,3,4,2,0,2,9,2,0,0,8,0,4,1,22,22,8,9,54,15,0,6,51,4,77,6,1,3,6,6,174,50,35,4,22,14,0,7,10,9,6,17,10,5,3,2
"E02003028 : Bristol 017",2,1,1,2,0,2,15,8,4,1,2,11,1,0,0,1,0,0,1,6,5,0,4,1,1,0,1,11,14,23,55,6,21,5,24,17,7,7,4,23,14,12,22,33,1,8,38,9,38,21,35,49,0,6,8,54,191,0,3,11,7,0,7,11,4,14,0,7,4,4,7,10,6,2,0,3,3,10,83,11,15,2,7,1,10,9,10,14,4,10,1,0,9,14,13,1,0,2,2,1,3,0,1,0,6,7,2,2,9,12,4,8,26,10,0,6,26,2,68,2,0,0,4,3,132,41,9,2,8,7,0,3,7,7,1,7,2,6,5,0
"E02003029 : Bristol 018",7,3,11,1,0,0,5,10,4,1,3,2,0,0,0,2,0,1,0,1,2,0,2,0,0,0,0,3,3,13,23,0,10,1,19,3,4,3,6,67,21,6,14,9,19,19,9,32,2,17,18,4,8,3,28,8,105,3,1,11,3,2,6,14,0,9,1,9,2,9,3,6,3,1,3,1,3,4,52,16,38,12,1,2,2,7,0,10,1,1,1,0,1,0,1,2,0,0,0,0,2,0,0,1,2,2,0,0,10,5,6,3,24,4,3,2,34,1,33,0,5,0,1,3,109,29,40,4,15,17,2,4,26,32,11,28,11,8,11,11
"E02003030 : Bristol 019",6,5,6,0,2,0,7,5,5,0,4,1,0,0,0,4,0,0,0,2,1,2,1,0,0,0,0,11,10,16,32,6,12,1,19,4,6,3,10,63,47,2,21,4,6,17,7,27,9,36,23,14,4,3,27,15,142,3,2,26,8,1,14,23,4,16,8,18,2,20,8,2,5,1,1,5,2,8,102,31,37,23,1,3,6,12,5,10,0,1,0,0,2,3,3,1,0,0,0,1,0,1,0,0,2,2,0,1,10,6,15,6,20,7,4,4,26,2,53,0,2,2,1,9,140,36,28,5,18,7,4,6,13,20,3,14,4,6,9,2
"E02003031 : Bristol 020",0,3,3,0,0,1,13,11,4,0,1,5,2,2,0,4,1,6,0,0,4,9,1,0,1,1,1,14,11,17,38,9,15,4,21,5,3,7,4,31,21,8,18,19,3,4,49,10,43,36,23,31,1,4,6,29,176,0,0,19,12,5,11,14,4,11,9,7,2,14,15,9,6,3,4,6,4,13,69,15,25,5,3,1,6,21,10,10,5,2,2,1,7,6,5,0,1,4,1,4,9,0,1,0,5,2,2,0,7,11,9,7,27,8,3,7,28,0,63,2,1,1,3,8,130,35,18,2,18,4,1,8,4,7,3,9,6,5,10,3
"E02003032 : Bristol 021",6,3,6,0,0,1,16,7,2,0,2,4,1,1,0,3,2,1,0,2,4,2,2,1,0,0,0,6,7,37,28,6,6,0,24,2,7,5,10,63,37,2,19,9,11,23,17,58,13,32,31,10,11,8,38,11,120,2,3,25,7,1,22,20,2,9,1,25,0,9,14,6,9,1,1,0,4,8,79,20,41,16,2,3,2,6,0,6,1,2,1,1,0,4,9,2,0,0,0,0,4,1,0,0,0,3,0,0,7,8,15,7,25,8,2,4,45,1,47,2,3,1,0,7,126,37,51,2,22,21,2,9,29,25,6,28,19,8,10,16
"E02003033 : Bristol 022",2,0,0,1,0,0,5,17,5,1,5,9,1,1,0,0,0,0,0,3,3,0,1,1,0,1,0,6,9,13,38,3,13,0,11,6,4,5,2,9,4,21,13,8,2,1,25,5,29,24,8,24,0,1,7,28,110,1,3,14,14,0,5,10,0,9,2,8,0,3,7,5,2,4,2,2,4,8,74,3,15,2,1,2,6,16,1,13,5,4,2,1,9,4,10,0,0,1,2,2,2,0,2,1,6,9,1,1,7,6,3,7,20,2,1,3,15,1,51,4,1,0,0,4,121,28,13,0,12,6,0,6,7,6,1,8,1,4,3,1
"E02003034 : Bristol 023",5,6,0,0,0,4,15,7,1,0,3,10,0,1,0,1,0,2,0,0,6,4,3,0,0,1,0,10,9,31,29,10,6,1,15,4,10,1,1,30,27,1,21,14,3,5,23,7,15,58,15,17,1,2,12,21,100,2,7,16,13,3,8,26,0,8,7,10,2,3,6,10,7,3,1,0,7,17,56,36,20,5,3,1,6,14,1,10,2,6,1,2,2,4,7,1,0,1,0,0,4,0,2,0,3,1,1,1,4,14,12,29,11,5,3,1,17,1,46,0,1,0,0,4,77,49,27,0,6,13,2,5,3,7,2,18,5,0,7,2
"E02003036 : Bristol 025",4,3,2,2,1,0,7,11,3,1,0,4,1,0,0,2,3,1,0,1,1,1,0,1,0,0,0,3,4,7,33,4,14,1,7,3,1,2,4,9,7,10,8,9,1,4,13,9,8,23,13,10,1,0,6,19,54,0,5,6,5,0,1,12,2,5,3,8,1,1,6,3,3,3,0,0,6,6,37,6,11,6,4,3,8,7,1,14,3,2,0,2,2,1,7,2,1,0,0,0,0,1,3,0,10,6,2,0,4,3,4,6,17,3,1,2,20,2,31,1,1,0,1,3,83,36,7,0,5,2,0,2,5,2,1,4,3,2,8,2
"E02003037 : Bristol 026",0,3,1,1,1,1,16,13,4,1,2,6,3,1,0,4,0,3,1,4,5,2,3,2,0,1,1,6,8,13,31,3,15,1,9,4,4,3,4,11,5,10,13,12,0,4,17,7,19,21,13,34,0,5,8,26,110,0,2,21,7,3,9,22,4,4,7,11,0,8,11,4,4,1,2,2,5,5,93,6,7,4,6,7,12,28,4,14,11,3,5,1,9,12,6,3,1,1,1,1,5,2,0,0,3,12,0,4,9,10,4,14,32,7,0,7,34,2,59,1,0,0,2,2,111,48,5,0,11,7,0,5,2,8,2,5,2,0,2,1
"E02003038 : Bristol 027",13,5,9,1,0,0,15,15,5,1,6,8,1,0,0,2,2,1,0,1,2,2,2,0,0,0,0,6,7,21,28,3,6,1,24,1,0,1,6,46,23,6,14,7,12,18,14,37,7,16,25,12,32,9,29,7,109,13,5,28,3,0,16,21,1,16,4,16,1,9,6,4,2,3,1,2,3,10,84,20,52,6,0,4,2,14,1,14,0,3,0,3,4,2,6,1,0,0,0,0,1,1,0,0,0,0,0,0,10,2,14,6,39,9,5,8,24,1,51,4,0,0,1,6,91,26,58,2,26,8,7,8,32,38,21,49,20,23,28,36
"E02003039 : Bristol 028",8,8,6,2,0,0,10,9,9,0,2,6,0,1,0,1,0,2,1,4,4,3,2,0,0,2,0,9,4,20,29,3,8,2,27,6,8,2,6,48,44,7,17,8,4,13,6,37,11,46,23,12,19,21,49,15,155,23,3,40,15,3,19,14,2,16,4,24,1,8,9,10,6,2,0,1,5,10,98,37,57,15,5,2,2,9,3,2,6,7,0,0,7,2,9,2,0,0,0,2,2,4,0,0,3,0,2,0,5,5,14,7,30,4,5,7,27,4,46,6,1,0,2,2,89,34,43,1,21,15,0,12,25,29,4,39,22,16,18,28
"E02003040 : Bristol 029",6,11,4,2,0,1,16,5,7,1,3,9,0,0,0,6,0,1,0,7,4,0,3,1,0,1,0,9,8,28,19,2,7,4,24,3,4,3,9,41,38,7,14,16,7,6,15,22,15,51,21,11,1,11,48,19,146,11,6,35,17,2,20,24,3,19,14,22,7,9,7,9,9,6,1,3,0,18,109,25,61,21,3,3,4,10,3,19,1,3,1,1,7,9,18,0,0,1,0,0,0,0,0,0,3,2,0,1,5,7,15,7,33,5,3,12,28,3,53,8,0,0,2,4,102,24,35,3,12,10,2,8,9,15,1,23,13,12,8,21
"E02003041 : Bristol 030",0,2,0,2,0,1,4,12,3,2,2,6,3,0,0,2,0,1,0,1,1,1,1,2,1,2,0,9,6,7,27,3,19,2,14,6,1,1,2,3,0,6,4,7,4,2,11,9,8,11,6,19,3,1,6,25,92,0,7,7,17,0,2,14,1,10,4,5,1,5,6,3,5,2,0,0,7,7,73,3,8,0,4,4,9,16,6,13,3,10,1,2,6,3,8,2,0,0,1,3,5,1,0,0,1,14,1,1,2,6,2,4,9,2,0,3,26,0,41,3,1,1,1,8,104,12,5,0,11,3,0,2,1,5,1,1,1,3,1,2
"E02003043 : Bristol 032",2,2,0,1,0,0,5,6,2,0,1,2,1,0,0,2,2,0,0,1,1,1,0,0,1,0,0,5,2,16,9,3,7,0,14,1,2,1,1,6,6,3,13,4,0,2,6,4,12,14,5,17,5,2,1,15,64,0,2,12,19,0,8,21,0,4,5,9,0,7,9,8,0,2,2,2,4,8,47,6,15,3,2,3,8,11,7,15,1,2,1,3,4,5,7,3,0,0,1,2,8,4,0,1,7,12,1,1,3,5,1,5,15,3,5,1,15,0,42,0,1,1,2,4,89,20,13,0,12,1,3,3,2,0,0,7,4,1,4,7
"E02003044 : Bristol 033",11,9,12,0,1,0,16,16,9,2,3,3,3,0,0,2,1,1,1,3,3,2,4,0,1,0,0,5,6,16,14,0,4,1,27,3,5,3,5,29,18,5,11,4,11,12,19,33,6,20,25,14,17,27,32,4,134,49,3,27,10,2,24,24,2,17,8,26,3,10,10,10,6,2,0,0,4,17,116,19,48,9,2,6,3,12,0,9,2,7,4,2,3,9,9,0,0,0,0,0,0,0,0,0,2,1,0,1,11,7,15,11,19,7,3,9,17,4,41,5,0,0,2,4,101,31,39,1,25,8,3,10,16,41,4,63,21,14,44,61
"E02003045 : Bristol 034",4,1,0,0,0,0,7,6,3,1,0,2,0,1,0,3,0,2,1,1,7,3,2,0,0,1,0,3,7,14,17,2,7,0,12,4,3,0,0,13,3,5,8,9,1,2,8,1,15,11,8,22,0,1,4,14,52,0,11,3,18,0,4,31,1,3,5,13,1,1,8,3,2,2,1,1,6,7,55,4,7,3,5,3,7,14,7,19,6,8,6,0,8,5,4,2,0,3,0,0,4,3,1,0,8,6,3,2,5,6,2,6,13,0,0,3,10,0,22,0,0,0,1,2,58,21,8,0,7,5,0,4,3,5,1,6,0,2,2,3
"E02003046 : Bristol 035",17,11,10,0,0,1,23,20,9,3,5,13,4,1,1,13,11,2,4,11,4,2,4,2,2,3,2,9,13,38,23,2,8,1,50,8,6,0,7,31,17,5,16,9,6,6,5,29,13,45,32,21,6,8,41,27,241,8,6,119,26,5,87,60,5,25,18,70,2,32,29,28,18,8,0,2,4,23,200,40,88,12,4,8,5,22,2,20,0,10,3,1,7,9,20,2,1,4,0,0,2,2,0,0,4,1,1,5,8,7,12,13,33,8,3,4,26,1,72,1,1,3,0,5,85,22,29,1,22,8,0,10,9,12,1,16,10,6,15,13
"E02003047 : Bristol 036",8,2,4,0,0,3,11,8,11,2,6,12,0,1,0,4,3,4,0,5,11,4,2,1,1,5,6,9,13,33,22,3,19,3,30,13,6,1,5,19,14,8,14,8,1,3,7,10,18,39,14,29,1,4,11,38,148,2,5,31,69,7,17,68,4,35,14,22,5,25,32,22,23,4,4,2,8,26,59,12,22,4,6,5,13,22,10,40,2,9,5,7,17,6,13,3,2,5,1,1,8,1,2,1,12,4,6,3,9,4,5,11,22,1,0,6,29,0,63,4,0,0,1,5,82,26,15,0,4,2,3,9,6,8,1,10,5,5,4,3
"E02003048 : Bristol 037",5,7,4,0,1,1,13,7,2,1,3,8,0,0,0,5,3,0,0,0,3,5,1,2,0,5,1,4,7,19,13,4,7,2,24,0,2,2,3,19,10,4,15,7,1,1,11,9,8,31,8,20,0,3,19,14,108,0,3,16,21,12,12,31,5,17,16,22,5,12,8,17,12,4,5,1,12,12,63,10,11,6,2,0,10,8,2,12,5,4,1,1,7,5,14,1,0,1,0,1,1,0,0,0,8,0,2,1,3,7,6,4,7,4,2,1,23,0,32,1,1,0,1,1,33,17,12,0,7,0,1,7,1,7,2,10,4,0,10,4
"E02003049 : Bristol 038",7,8,15,0,2,1,18,10,6,0,5,8,2,1,0,3,4,3,0,14,4,3,3,1,1,1,0,8,5,27,8,1,14,0,23,3,3,2,3,17,15,4,9,10,1,4,13,27,8,22,11,5,3,7,26,14,123,2,2,96,17,3,124,47,5,21,20,64,4,22,18,20,28,10,7,1,12,16,130,13,78,8,4,3,2,13,1,12,0,5,2,1,9,3,16,1,0,0,0,1,3,1,0,0,1,0,0,1,1,3,12,7,24,5,2,1,19,3,36,0,1,0,1,4,42,18,28,1,5,4,1,9,11,14,5,11,15,2,7,9
"E02003050 : Bristol 039",4,0,7,0,1,0,10,7,3,0,2,5,0,0,0,5,2,3,2,4,9,5,1,6,0,1,2,4,11,24,24,3,8,4,34,4,5,2,2,11,11,5,6,14,2,3,8,7,15,22,14,18,0,2,15,23,113,2,2,21,48,0,21,77,4,48,4,24,3,21,23,23,20,2,4,2,7,19,84,12,26,1,3,2,8,27,6,35,3,8,3,5,15,9,29,3,2,2,1,1,1,4,1,0,12,3,4,1,3,3,1,8,30,1,0,3,28,1,41,1,0,0,0,3,51,21,16,0,10,1,0,1,1,4,1,10,2,5,7,6
"E02003051 : Bristol 040",2,8,1,1,0,0,8,3,1,0,3,6,0,0,0,0,2,0,0,1,7,2,1,0,1,0,1,3,9,17,5,2,10,1,30,6,2,0,3,7,13,8,20,5,0,1,14,4,15,22,7,10,2,3,9,20,113,1,9,21,29,7,15,62,16,34,16,19,1,23,11,15,18,2,2,3,15,12,89,10,26,6,4,4,7,15,3,19,3,10,2,0,10,8,19,4,3,6,1,0,4,1,1,1,14,3,1,3,2,1,3,5,14,2,0,1,21,1,34,1,2,0,1,3,35,17,8,0,2,1,0,3,4,8,3,2,3,3,5,6
"E02003052 : Bristol 041",4,5,4,0,0,0,5,10,4,1,1,1,1,0,0,3,3,0,2,2,6,0,2,4,2,2,2,8,8,37,19,2,15,2,29,5,4,2,0,10,10,9,7,8,6,2,10,10,8,27,9,20,4,3,11,16,140,1,2,18,55,3,16,84,4,65,9,9,6,24,35,19,17,4,2,2,4,24,70,9,31,5,4,7,9,27,4,24,5,16,1,4,12,4,17,4,3,3,0,2,1,1,0,0,7,2,0,2,2,4,5,9,18,2,3,2,10,1,34,1,0,1,1,3,51,15,11,0,1,2,2,2,2,3,0,8,3,1,1,1
"E02003053 : Bristol 042",7,5,5,0,0,1,7,7,6,0,1,9,0,1,0,7,3,1,2,13,6,4,3,2,2,0,1,2,10,12,17,2,11,2,31,8,1,5,3,26,7,7,5,11,3,7,12,10,11,34,16,20,2,1,11,16,170,0,2,42,37,11,35,38,7,22,36,38,14,38,30,38,33,12,1,6,18,19,89,18,33,6,1,5,9,17,1,20,1,8,4,0,5,16,21,0,0,0,0,0,0,0,1,2,4,4,0,0,3,2,13,4,23,3,1,2,19,1,31,1,1,1,0,4,68,25,25,1,10,2,1,8,1,8,2,6,11,3,4,9
"E02003054 : Bristol 043",14,8,7,0,0,1,15,8,6,2,2,6,2,0,2,6,0,1,4,8,8,2,2,2,0,1,0,7,2,17,11,5,10,2,25,2,5,2,5,17,12,4,4,7,0,9,10,8,9,31,19,9,2,2,25,15,122,1,4,54,23,5,80,43,3,22,27,92,7,29,22,14,18,15,4,4,7,23,123,12,50,5,2,3,3,8,2,8,0,1,2,2,5,5,10,2,0,1,2,0,4,0,0,1,3,2,0,0,4,6,10,7,26,4,0,5,17,1,27,0,0,0,0,3,50,25,20,1,11,0,2,14,8,10,2,16,10,1,13,8
"E02003055 : Bristol 044",4,1,12,0,0,0,3,4,4,1,5,3,1,0,0,0,0,3,0,5,5,1,2,0,0,0,0,2,4,32,16,5,6,1,39,2,2,0,1,11,8,3,10,4,2,4,6,7,12,23,17,13,0,1,9,14,100,1,2,35,22,5,38,93,6,41,23,48,26,60,27,42,29,9,2,9,6,18,77,8,31,4,3,4,4,25,2,12,1,2,3,2,0,4,26,0,0,0,0,0,1,1,0,0,5,0,1,0,2,1,8,3,19,4,1,1,11,0,22,3,2,0,2,1,24,10,21,0,5,0,0,0,5,9,1,9,3,3,6,3
"E02003056 : Bristol 045",6,0,4,0,0,0,5,6,3,0,2,3,0,0,0,2,0,0,0,9,3,2,1,1,0,0,0,5,4,31,7,2,1,1,42,3,1,1,7,13,6,4,14,8,1,5,4,8,2,14,17,14,0,1,10,6,108,0,0,23,20,2,18,85,10,60,12,37,28,59,33,30,22,3,5,5,6,25,77,12,33,4,4,2,1,19,2,8,0,4,1,1,6,7,13,0,1,1,0,1,1,1,0,2,6,2,1,0,3,2,6,1,25,2,2,1,5,0,13,3,1,0,0,5,23,12,11,0,3,0,2,2,2,6,2,9,10,2,5,4
"E02003057 : Bristol 046",2,2,5,0,0,0,3,4,2,0,3,1,1,2,1,9,1,0,0,6,10,1,1,3,5,1,1,7,10,17,10,1,2,3,45,3,1,2,2,7,11,8,6,6,7,4,8,10,5,12,19,19,6,0,8,7,132,1,4,17,42,3,20,79,4,62,9,38,7,33,81,14,61,9,8,4,11,30,78,4,41,3,3,3,5,14,2,21,2,7,2,1,6,4,42,1,0,0,0,1,1,1,0,2,5,1,2,0,2,1,5,15,23,3,0,2,12,0,19,2,1,0,0,1,27,10,9,0,4,1,0,1,3,4,1,8,11,3,5,4
"E02003058 : Bristol 047",12,10,11,0,0,0,12,21,10,4,4,11,1,0,0,7,3,1,0,31,19,4,6,0,2,5,1,10,5,24,10,0,9,3,48,8,3,1,3,26,14,9,13,11,2,6,6,19,6,31,22,12,8,1,18,8,184,3,1,61,31,6,60,79,12,49,40,74,15,98,75,110,72,44,4,6,41,33,158,6,68,3,1,5,3,18,2,24,1,5,1,0,11,8,28,2,1,0,0,0,0,4,0,0,6,1,3,1,2,7,11,13,34,3,2,1,10,0,36,2,2,0,1,2,45,12,25,2,20,1,0,8,4,8,0,12,17,4,11,9
"E02003059 : Bristol 048",12,1,2,0,0,0,5,2,0,0,1,1,1,0,0,3,0,0,0,4,7,1,3,0,1,1,0,1,2,18,12,0,5,0,34,1,1,2,1,3,11,9,8,5,1,2,6,7,5,9,17,11,0,0,12,11,115,0,1,18,38,2,24,61,6,53,11,21,11,46,51,16,69,8,12,5,14,30,94,12,21,1,2,4,2,11,0,21,0,12,1,1,5,8,29,0,0,1,0,0,0,0,1,0,6,1,1,0,1,6,5,12,17,2,0,2,11,1,24,1,0,0,0,1,25,17,13,1,5,2,0,0,3,4,2,3,4,0,2,1
"E02003060 : Bristol 049",33,22,26,1,0,0,19,22,11,0,3,12,1,4,0,7,2,2,1,42,13,4,11,0,5,6,1,3,11,35,16,4,15,1,78,5,4,2,2,18,21,14,8,8,5,8,4,20,10,25,33,13,3,4,22,15,167,5,10,71,25,12,116,83,9,59,59,110,9,45,38,82,68,102,3,2,35,49,170,16,68,9,2,7,5,22,2,21,1,7,3,3,7,9,46,4,0,0,0,2,1,1,0,0,5,1,2,3,10,2,12,12,44,8,2,3,17,3,44,1,2,1,0,1,52,33,44,1,17,0,1,10,9,16,7,15,18,4,11,21
"E02003061 : Bristol 050",5,5,4,0,0,0,7,2,1,0,0,2,0,1,0,2,2,1,1,4,11,1,0,1,0,0,0,6,2,23,9,0,7,2,26,4,0,1,3,7,13,5,3,1,1,0,5,5,6,14,13,5,2,2,8,7,70,1,3,22,25,4,22,68,4,50,9,18,6,27,59,11,58,10,25,8,10,28,50,6,25,6,7,2,5,20,2,20,2,10,1,1,8,14,40,2,0,0,0,0,1,0,0,0,12,3,0,1,2,3,6,5,21,1,0,1,4,0,13,1,0,0,0,2,22,10,10,0,4,1,0,2,1,1,1,7,4,4,5,1
"E02003062 : Bristol 051",5,2,1,0,0,0,0,6,0,0,0,0,1,0,0,3,0,1,0,3,7,0,3,0,0,1,0,2,3,37,5,1,2,0,28,4,3,1,1,14,3,2,8,9,2,1,4,7,3,5,9,5,0,0,6,6,59,0,2,31,18,4,22,56,6,45,12,20,4,21,45,31,55,6,8,14,5,30,51,7,17,1,4,0,3,20,2,16,3,3,2,2,5,5,18,0,0,0,0,0,2,2,0,0,1,0,1,1,0,1,5,6,22,1,1,1,6,0,9,1,2,0,0,4,10,18,14,0,2,1,0,2,4,2,0,2,5,3,1,2
"E02003063 : Bristol 052",20,17,14,0,0,1,14,5,7,0,0,7,1,0,0,6,1,1,0,23,19,2,7,1,3,5,0,6,2,23,10,1,6,3,51,5,4,2,3,11,14,2,10,7,2,4,5,14,9,20,22,10,4,1,22,11,149,0,2,32,30,3,46,84,15,52,35,70,10,45,73,109,68,26,13,1,101,65,149,10,61,3,5,2,2,26,3,19,1,7,3,1,12,7,27,0,0,4,0,0,0,0,0,1,4,0,0,0,1,3,11,11,15,1,0,3,10,1,33,0,0,1,2,1,43,17,24,2,9,4,2,7,5,5,4,10,13,4,8,13
"E02003064 : Bristol 053",5,4,1,0,0,0,3,3,1,1,0,2,1,0,0,1,0,0,0,6,1,1,1,0,2,0,0,4,3,18,2,0,6,0,38,2,0,1,1,7,6,6,6,1,2,1,2,6,5,10,9,2,1,1,9,5,60,1,4,22,24,2,16,64,2,34,15,21,2,43,35,30,54,10,5,6,15,43,44,5,17,2,1,2,3,15,0,13,0,4,0,1,2,4,20,3,0,0,0,0,1,0,0,0,5,0,0,0,1,1,1,2,7,3,1,0,8,1,17,0,0,0,0,2,13,12,13,0,5,0,0,3,2,3,0,8,4,3,4,8
